ensembl_gene_id	external_gene_name	Fem7_Exe_shelf	Fem8_Exe_shelf	Fem9_Exe_shelf	Fem7_Exe_HVC	Fem8_Exe_HVC	Fem9_Exe_HVC	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSTGUG00000000764	ZMYND11	6900	8164	8695	6529	9952	8874	8100.931078751744	0.1279846498009708	0.14868651378839046	0.8607683813416838	0.3893656226232283	0.9998207068924773
ENSTGUG00000000765	SRSF4	3783	4371	3751	3666	4012	3695	3858.483363814107	-0.01809861153086434	0.12367927463189449	-0.14633503943753773	0.883656906103576	0.9998207068924773
ENSTGUG00000000766	NMRK1	71	83	66	63	62	81	70.51083204322047	-0.050502641074312696	0.314971604536404	-0.16034029844895326	0.8726130159348926	0.9998207068924773
ENSTGUG00000000767		1629	1475	1328	1451	1307	1391	1429.387227866077	-0.04917384756153298	0.17861057855648443	-0.2753131867045718	0.7830756342705008	0.9998207068924773
ENSTGUG00000000768	CARNMT1	164	253	294	198	257	259	234.7343970985955	0.0521804257380949	0.24599011360904638	0.21212407674653777	0.8320102365685389	0.9998207068924773
ENSTGUG00000000769		76	41	21	46	41	21	41.49652392961183	-0.3140493488626841	0.6043141052249477	-0.519678998301361	0.6032873271411323	0.9998207068924773
ENSTGUG00000000770	SPARC	31923	24815	30874	28442	26056	30125	28702.52703680617	-0.010519609986202428	0.18000148263912608	-0.05844179632282556	0.9533967229942238	0.9998207068924773
ENSTGUG00000000771	MECR	435	514	564	386	533	621	503.18821162700374	0.05910660769663608	0.19058674861888414	0.3101296817588899	0.7564623414935554	0.9998207068924773
ENSTGUG00000000772		193	182	210	167	192	169	184.6949944057319	-0.10695492377799692	0.2183824718921322	-0.4897596535624261	0.6243039839340246	0.9998207068924773
ENSTGUG00000000773	RPUSD4	415	607	459	371	597	532	490.05748241797437	0.05691248683978286	0.2003964655403945	0.28399945421348183	0.7764107989049136	0.9998207068924773
ENSTGUG00000000774	TRPM6	8	0	4	5	6	7	5.062335196938263	0.5695796025942522	1.3070081172295647	0.43578887926233933	0.662989913116868	0.9998207068924773
ENSTGUG00000000775	KDM4B	273	327	305	226	319	250	280.6241264153734	-0.14623597046805875	0.19225164549561838	-0.7606487325040431	0.4468669039923236	0.9998207068924773
