id	Fem4_E2_MSt	Fem5_E2_MSt	Fem6_E2_MSt	Fem4_E2_AreaX	Fem5_E2_AreaX	Fem6_E2_AreaX	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
unown4355	118	127	108	131	156	119	125.46290850261627	0.36189448957695936	0.2890816688226393	1.2518762986628287	0.21061494240716208	0.9998748158320103
CLUAP1	674	614	726	553	652	751	664.2702466756806	0.1260094661223867	0.2806399680372559	0.44900755585055696	0.6534262060260587	0.9998748158320103
unown4356	1952	2084	1354	1201	1874	1293	1578.1639241503285	-0.13998997027252838	0.19457078884701795	-0.7194809205537839	0.4718446537981191	0.9998748158320103
unown4357	84	42	112	81	74	135	91.27618060992694	0.4506534943154493	0.534714009086978	0.8427935057937576	0.39934394067622	0.9998748158320103
unown4358	58	130	64	30	189	60	83.28179737302713	0.21524861032216902	0.5829708723422691	0.36922704123679445	0.7119585016820409	0.9998748158320103
unown4359	6	22	20	9	15	6	12.669563604087646	-0.5919487620827559	0.8795306235736786	-0.6730280290611941	0.5009294592430711	NA
CAMKMT	191	298	100	149	195	89	161.93231753497227	-0.2678411655080357	0.39138705991794365	-0.6843383262701379	0.4937615507272731	0.9998748158320103
LHFPL2	7	8	9	2	8	6	6.515023848409055	-0.4714064519083807	1.0836106019221863	-0.43503307467845564	0.6635384201622627	NA
RGL1	100	180	87	101	213	91	123.5572821318142	0.2716155672774454	0.38879074440791966	0.6986163410116215	0.484791828698253	0.9998748158320103
SCAMP1	3093	3284	3597	2904	3476	3347	3280.6667248453446	0.11987164180805071	0.2352604885900531	0.5095273011054986	0.6103826668714953	0.9998748158320103
unown4360	0	0	0	0	0	0	0	NA	NA	NA	NA	NA
unown4361	0	5	0	0	0	0	0.7122093903953943	-2.8925932947546094	3.9645467704524697	-0.7296151268318827	0.465625473226604	NA
CA6	1	1	8	13	12	4	6.682170116984269	1.5422529689129367	1.2995548821560656	1.18675478049393	0.23532436016528965	NA
SNRK	1078	1445	676	811	1206	704	950.3910233640877	-0.06419634744271338	0.2531114001866177	-0.253628826656491	0.799782324213691	0.9998748158320103
unown4362	0	0	0	0	0	0	0	NA	NA	NA	NA	NA
unown4363	0	0	0	0	0	0	0	NA	NA	NA	NA	NA
unown4364	0	0	0	0	0	0	0	NA	NA	NA	NA	NA
unown4365	1	0	5	2	1	0	1.5702560918601811	-1.0099282409145975	2.523809544417392	-0.4001602431326624	0.6890384950404354	NA
unown4366	14	3	10	13	8	11	10.05142635841706	0.4272856317010055	0.9694343635657913	0.44075767041035724	0.6593884410646442	NA
unown4367	0	0	0	0	0	0	0	NA	NA	NA	NA	NA
C17H9orf16	3124	3308	2367	2376	3027	1882	2609.1582650690793	-0.1149075199381499	0.17782538419462107	-0.6461817611617772	0.5181616499441581	0.9998748158320103
unown4368	22	51	23	11	22	24	24.653733571541057	-0.5563895755078688	0.6600395740416203	-0.8429639636619493	0.3992485982855101	NA
unown4369	0	0	0	0	0	0	0	NA	NA	NA	NA	NA
unown4370	10	3	19	7	0	18	10.243166141228803	-0.1280660268990525	1.3552589425807249	-0.09449561473114895	0.9247154657971731	NA
PTGES2	1409	1274	1725	1191	1397	1409	1404.1503336435578	0.007371341070053952	0.2735961824198023	0.026942412006112953	0.9785056658941216	0.9998748158320103
unown4371	0	0	0	2	5	4	1.889339706975202	4.4595573652486316	2.4760920482862727	1.801046680932211	0.07169552259532157	NA
unown4372	0	0	0	0	0	0	0	NA	NA	NA	NA	NA
unown4373	0	0	0	0	0	0	0	NA	NA	NA	NA	NA
unown4374	5	0	2	1	0	1	1.477999981004059	-1.5370040842999668	2.5543841148698982	-0.6017121995680162	0.5473657279485675	NA
POMGNT2	2019	1600	1104	1311	1553	1066	1402.5481749539044	-0.08839840257740311	0.22126920768665176	-0.39950611972447453	0.6895203154146954	0.9998748158320103
PPCDC	80	106	131	55	95	94	93.23185783848106	-0.24352050860253133	0.42663580703173426	-0.570792475898343	0.5681403238375273	0.9998748158320103
ZBED4	332	365	311	262	367	257	309.6771993348707	-0.03713946589733758	0.22492386622656058	-0.16512016497141244	0.8688494015118606	0.9998748158320103
unown4375	1	10	4	9	29	19	11.931229140730643	2.0668392292485733	1.0001332576013657	2.066563843907665	0.03877527068797402	NA
GASK1A	0	0	4	0	0	0	0.7273229040510071	-2.900672933404877	3.964226647379568	-0.7317121828345206	0.46434425888658853	NA
unown4376	15	12	23	8	20	12	14.832687731421283	-0.24315463613662916	0.7783434731471166	-0.31240017360647915	0.7547364184471466	NA
NFU1	2070	2853	2202	1729	2880	1947	2232.4043432568983	0.020855743353276043	0.21798604638294464	0.0956746713807449	0.9237789579079791	0.9998748158320103
unown4377	479	313	344	272	292	318	332.99610015056	-0.18167003549571784	0.29062044980467483	-0.6251109845085497	0.531898219056192	0.9998748158320103
unown4378	47	142	29	25	161	39	67.87860364607738	0.13827714550029582	0.6921927153811117	0.19976683144398932	0.8416629430928018	0.9998748158320103
