id	Mal7_Exe_MSt	Mal8_Exe_MSt	Mal9_Exe_MSt	Mal7_Exe_AreaX	Mal8_Exe_AreaX	Mal9_Exe_AreaX	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
CDC16	811	470	541	637	410	560	568.7307705684268	-0.04029395870953931	0.28058733399435054	-0.1436057648644632	0.885811788144125	0.9998924110731865
unown6664	0	0	0	0	2	0	0.3538953829118527	2.012031682713343	4.03560910497838	0.4985695171098892	0.6180826842587883	NA
PSMD6	1287	1642	1278	957	1322	1560	1321.0261917554778	-0.02778145287929688	0.18730402474890812	-0.1483227758535329	0.8820880416264505	0.9998924110731865
MC5R	68	30	60	28	30	48	43.02181317952087	-0.4781487691875929	0.4879630972188692	-0.9798871511243109	0.3271418260826445	0.9762155964219326
unown6665	65	69	30	75	55	56	58.59287906059624	0.33468523203034994	0.46017885217361254	0.7272938129370679	0.46704598746244286	0.9998924110731865
ACOT11	287	300	183	206	286	221	245.53942630528735	0.02367160743135507	0.2821053402903141	0.08391052578797219	0.933127570708953	0.9998924110731865
EMP1	28	8	20	15	19	19	17.999930513231252	0.040963977395246196	0.6975678383722835	0.05872400523916387	0.9531719389134052	0.9998924110731865
CLEC19A	29	19	25	24	27	39	26.86889772892398	0.4049691826651823	0.5216229895240345	0.7763637546625478	0.43753423918030265	0.9998924110731865
TBXT	0	5	8	4	0	2	3.1681511425373907	-0.9649937475525011	1.9016434992664155	-0.5074524998638075	0.6118373569695015	NA
SMG1	967	1358	1193	1109	953	1249	1130.3117730427532	0.03334454998193517	0.19989782625570363	0.1668079668824501	0.8675211498542064	0.9998924110731865
unown6666	1842	1253	1783	1505	1032	1340	1450.5271657031371	-0.19503769484974914	0.24186102547093494	-0.806403985387829	0.420009949717279	0.9998924110731865
SOD3	60	328	94	65	191	95	137.02633343267087	-0.3310728355881823	0.5909863141486086	-0.5602038958637056	0.5753403699873896	0.9998924110731865
DHX15	2558	2608	2543	2114	2257	2685	2436.0975099986676	-0.011150791508254994	0.13026466506593556	-0.08560104539946302	0.9317835674033336	0.9998924110731865
TOM1L1	9	26	15	10	30	12	16.992976702295536	0.1879727589542957	0.7785874142671513	0.2414279443898099	0.8092234567033207	0.9998924110731865
IFITM10	584	680	759	391	507	865	617.0188362717213	-0.12027501845971961	0.2485616147919645	-0.4838841208864236	0.6284681103063625	0.9998924110731865
DUSP8	114	205	111	81	209	150	143.34450919393075	0.1440925372725827	0.3983129632544235	0.3617570869280074	0.7175335628603685	0.9998924110731865
GRIN2B	926	1016	990	705	758	770	852.0435914883262	-0.26723358229494637	0.1667339171079414	-1.602754777973235	0.1089888044585914	0.6480312495668911
unown6667	17	16	10	15	13	6	12.912561699496575	-0.163511375914962	0.7924170897810734	-0.2063450902606561	0.8365213593672975	0.9998924110731865
RPLP0	3894	2751	3179	3395	2539	3468	3186.501739909263	0.06632074075633662	0.20643890151879274	0.32126086831700784	0.7480127084425292	0.9998924110731865
CERKL	1	1	0	2	6	7	2.8136295815959182	2.9934294060526354	1.7911423002443505	1.6712404177179374	0.09467419987119477	NA
