id	Mal1_Veh_MSt	Mal2_Veh_MSt	Mal3_Veh_MSt	Mal1_Veh_AreaX	Mal2_Veh_AreaX	Mal3_Veh_AreaX	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
H2AFV	2962	3456	3251	4081	4172	2159	3282.5277748031685	-0.018954037059405664	0.2279346302579984	-0.08315558297548581	0.9337278300155497	0.991807823792061
RNF180	112	138	83	160	233	244	159.54417448129806	0.8809691851664927	0.33142578465981953	2.658119029787416	0.007857813494710509	0.1346104727671683
COA3	2676	2591	2570	2690	3038	2332	2621.903720678766	-0.05583218974742923	0.16470808278840465	-0.33897662338256407	0.7346273405410381	0.9702092314383444
CNTD1	216	364	349	296	408	177	296.4956407670951	-0.22672653453698904	0.32412115945881026	-0.6995116730902653	0.4842323205593731	0.9118325365412296
unown2865	10	7	6	17	16	13	11.230945286252314	0.9227417268983945	0.8104125498504043	1.13860740072291	0.2548669402723718	0.8013389290516567
unown2866	3	64	628	2	161	792	302.3283044087147	0.3973088010965215	2.1364084139431037	0.18597043454028567	0.8524679466683794	0.9843991300048823
EDA2R	18	14	2	22	12	4	11.435098982629148	0.0958049507554842	1.012768116821747	0.09459712362997542	0.9246348346023827	0.9912726400900611
unown2867	1	4	5	0	6	5	3.524586257523694	0.005866015579839455	1.6571765306214317	0.0035397650590910388	0.9971756820085707	NA
RGS7BP	1355	1953	1118	1467	2066	1203	1489.948357408934	-0.003951602981038124	0.22789190809461038	-0.01733981260711371	0.9861655245035952	0.9970126504778171
unown2868	3447	3339	3466	2908	4004	2707	3274.299455215163	-0.2011874622183434	0.17748709355379702	-1.1335329132389151	0.2569905275905728	0.803368824345133
unown2869	0	0	3	1	3	0	1.140708551534589	0.03799062100131425	3.0699192252851644	0.012375120716013401	0.9901263342580715	NA
unown2870	0	12	0	3	19	0	5.024393210412987	0.6588321933479409	2.074943688455275	0.3175181076062931	0.7508505018976743	NA
unown2871	9	23	16	28	39	26	22.932933136505504	0.8436525344814377	0.6328255924962747	1.333151731669898	0.1824820156686399	0.7304118147043144
unown2872	0	0	0	0	0	0	0	NA	NA	NA	NA	NA
SREK1IP1	377	364	378	452	499	475	421.2840148542588	0.2674678066356085	0.2267429556057764	1.1796080099645425	0.23815615569113463	0.7861087034386924
unown2873	0	0	0	0	0	0	0	NA	NA	NA	NA	NA
unown2874	11	5	1	4	5	5	5.019486412325033	-0.29648458485496937	1.274543119323838	-0.23262028593607598	0.8160562734934111	NA
TUBB4B	30457	23554	28428	26233	29618	28512	27712.8253168597	-0.04815017519048933	0.20858606246513997	-0.23084080796882797	0.8174384771024691	0.9812076044731824
unown2875	797	593	603	589	739	621	650.4085946656414	-0.114291699791971	0.21184921072383403	-0.5394955185410688	0.5895449883864283	0.9393595531710429
CWC27	1264	1218	1034	1277	1386	1341	1242.7946648159773	0.11729144161858207	0.19183604308796798	0.6114150382303138	0.5409248494457399	0.929153606647438
unown2876	16	26	22	64	59	23	33.60274580651303	1.0529752062122302	0.5679377785483805	1.8540326880588578	0.06373448358622714	0.48223156873788453
unown2877	1725	1270	1408	1273	1412	1520	1432.481941970651	-0.13250665084276178	0.23142817502706906	-0.5725605831150987	0.5669422547850725	0.9359629453478304
unown2878	236	262	198	269	395	295	270.51452201422467	0.37291786831954865	0.23888155253179078	1.561099483686251	0.1185002799022531	0.6259464556362617
unown2879	78	84	33	50	106	52	64.63632821365137	-0.0031544324241374877	0.4616274794645149	-0.006833285634981285	0.9945478693224352	0.9988109523481319
unown2880	343	282	334	413	269	238	311.7828760681293	-0.15035174258994033	0.29273190371827185	-0.5136158398868624	0.6075206028874098	0.9406186630763363
LIN54	72	92	84	75	111	73	83.34666689159813	-0.04831356024552873	0.34853063614019364	-0.1386206985433986	0.8897498861530037	0.9881305291884287
TRA2A	3679	4132	3602	3774	4507	3417	3807.4371477101413	-0.059539192153313006	0.16299510831973668	-0.3652820797328404	0.7149008538727424	0.9675596693642551
unown2881	3241	2977	2510	2688	3725	3292	3037.7881412102497	0.07833786607878114	0.19600025453834227	0.39968247114422195	0.6893904044208576	0.9613339496793739
PSME3	1642	1692	1565	1563	2008	1175	1580.4215163672798	-0.16062839916508248	0.17971046781770425	-0.8938177119878272	0.37141943091344376	0.8688618775491112
unown2882	0	0	2	1	3	2	1.3279523057249565	1.3597445233259609	2.55509580558336	0.5321696823871206	0.5946084788705075	NA
unown2883	0	0	0	0	0	0	0	NA	NA	NA	NA	NA
unown2884	0	0	0	0	0	0	0	NA	NA	NA	NA	NA
ADAMTS6	101	57	44	51	44	71	61.28578881193679	-0.29856643560408364	0.4824109890191739	-0.6189047148596709	0.5359791322918197	0.9285663407344178
unown2885	27	34	7	27	24	8	20.264527803137128	-0.2923173243004026	0.7650983716693445	-0.3820650195119413	0.7024131375087256	0.9653579897575096
NELFB	1117	1324	1010	1160	1493	659	1099.1688231375847	-0.18692782181790032	0.2359986153856486	-0.792071688693762	0.428318876861515	0.8930957833208267
unown2886	195	223	104	292	326	137	204.18336944358927	0.42743744497066927	0.3454718318218753	1.2372570079492191	0.21599168323639184	0.7622927128896942
unown2887	495	476	323	423	618	693	500.5479263640373	0.37669488162726494	0.2858500173348169	1.3178060478689466	0.18756858285123326	0.7353438010914142
unown2888	7	24	9	9	15	8	11.728945755306423	-0.42697634022982567	0.868055333264995	-0.4918768699039613	0.6228063905605223	0.9420776834489037
unown2889	0	0	0	1	3	0	0.5693973379965582	2.6133244395000768	3.980965027954896	0.6564550105687805	0.5115314055371398	NA
unown2890	145	5	6	207	17	46	69.16037187420186	0.8187893492230962	1.576459900564218	0.5193848247773698	0.603492411571962	0.9404179017775893
unown2891	109	19	13	201	75	66	77.77573721153061	1.2570558960606246	0.7098716428446097	1.7708213995185509	0.07659040619696272	0.5250075344566438
unown2892	0	2	1	0	1	2	1.0298670604612734	-0.02092718053027431	2.802334330332129	-0.007467767248097785	0.9940416391896534	NA
THAP9	253	348	163	213	212	182	225.26938397848255	-0.3950438172028981	0.2984355035631231	-1.3237158866365948	0.18559742026472412	0.7329506957213996
unown2893	1	0	0	0	0	0	0.15899429742826193	-1.0470366255343009	4.080472856796901	-0.2565968852826057	0.7974899797035522	NA
unown2894	0	0	3	3	0	3	1.6181854864447736	0.8897146244521502	2.7266918452716493	0.32629819390665743	0.7441987545701929	NA
unown2895	199	51	267	129	42	167	148.70373441830364	-0.6502972407899327	0.6298212666849801	-1.0325107696231448	0.30183290513862376	0.8304102112603483
CCDC126	1332	1985	1245	1162	1891	1252	1452.2247999070137	-0.18158278857127225	0.23462657352563576	-0.7739225179940334	0.43897661243369557	0.8995374047557959
unown2896	1331	1835	1643	1438	1606	564	1378.8492717448926	-0.5654011152418627	0.30410165464849304	-1.8592503743374962	0.06299165755283383	0.48035557490766495
unown2897	829	843	1152	808	1046	730	898.2440189659159	-0.25166635161777257	0.24711415987769297	-1.018421411959285	0.30847773082186203	0.8348963692961052
unown2898	0	0	1	0	4	0	0.7361432841293429	1.5955162148927595	3.9838712972892436	0.40049391554852715	0.6887927640312448	NA
unown2899	251	183	199	242	312	293	244.21536836742473	0.34384219940799565	0.26895453185962837	1.2784398798955816	0.2010943701239646	0.7496183501231851
unown2900	0	23	5	18	17	0	9.894764992806541	0.15297447413244308	1.5296493032074678	0.1000062392155354	0.9203393721024853	0.9912726400900611
unown2901	4	8	7	4	8	14	7.645976047291539	0.41177164659781706	1.0535617506972523	0.39083769539403324	0.6959172098190208	NA
SEC31A	690	857	575	543	649	412	611.8951022132821	-0.5012801361318873	0.20739646615555735	-2.4170138740739344	0.015648420657633312	0.21425117988309295
unown2902	421	515	339	429	443	381	416.3409828968395	-0.09974270715781702	0.2227255235567158	-0.4478279164642669	0.6542773943777298	0.9502767162569994
FAM221A	324	252	290	336	417	323	319.4164178544706	0.21713947342252185	0.2325685316930851	0.9336580140131572	0.3504803293291164	0.8569048570085216
unown2903	845	1078	1030	755	1214	680	920.7714151557697	-0.2848790069201421	0.23252455052522733	-1.2251566824950584	0.22051619193298708	0.7694595118755979
unown2904	3	0	1	2	0	1	1.1764957327171024	-0.4091854577582632	2.683556846142535	-0.1524787739624166	0.8788093305993641	NA
unown2905	0	2	0	6	0	0	1.2860286803790717	1.5514670315011831	3.420992253144193	0.45351375177048364	0.6501788432754212	NA
unown2906	3	1	1	0	0	0	0.8300812688014889	-3.232145076612192	3.333417577545523	-0.9696190175465805	0.3322364299413517	NA
unown2907	85	76	45	76	81	42	65.59723438470193	-0.14460138822999274	0.40480644877718713	-0.3572111775066706	0.7209337187390203	0.9683052832687
unown2908	3	0	0	1	2	3	1.4764749150984107	1.0364503085000583	2.4597546811363222	0.42136328327719813	0.6734898260831257	NA
unown2909	0	0	0	0	0	0	0	NA	NA	NA	NA	NA
PPP1CA	2134	2320	2183	2355	2538	1028	2049.8478541948566	-0.30315471166276825	0.2635346208578584	-1.1503411228321292	0.25000339970526303	0.7974477630149048
unown2910	0	0	0	0	0	0	0	NA	NA	NA	NA	NA
DBN1	710	777	784	756	552	348	650.6493350099777	-0.5675293973480561	0.2755265467128111	-2.059799333744808	0.039417728307524484	0.3759890601301646
unown2911	14	1	3	3	0	1	3.629086130408089	-2.167043217755194	1.7632618024487514	-1.2289968595393412	0.21907298347926843	NA
unown2912	804	679	716	935	883	980	829.8696645562654	0.2804541285733689	0.22845011402183188	1.2276383829975555	0.21958274640090525	0.7688507964034789
unown2913	1	0	13	3	0	4	3.870390908351327	-1.1008302517563748	1.98148842118873	-0.5555572467569441	0.5785135650910421	NA
PRDM16	83	87	73	73	64	41	69.41231328900345	-0.5488701857461409	0.37307361849913206	-1.4712114674691688	0.1412339368952695	0.6686913283332723
unown2914	136	146	107	107	163	140	131.5563191756744	-0.0010834491113991098	0.3066908948343069	-0.003532707131669021	0.9971813133846817	0.9994613414651453
unown2915	60	47	61	74	38	84	61.69691242006477	0.18703346949822405	0.4963961797102975	0.3767826529353609	0.7063351332460258	0.9659116422047838
unown2916	80	47	63	57	90	125	77.37230966858877	0.472281951849238	0.4642675448292089	1.0172624752888495	0.3090285825839094	0.8352007575045237
unown2917	123	248	142	121	253	73	154.6138735822612	-0.35745784829954713	0.4178290327114517	-0.8555122318328792	0.39226763574813955	0.8765227183096423
unown2918	0	0	0	0	0	0	0	NA	NA	NA	NA	NA
unown2919	73	6	48	290	10	46	78.20858217915116	1.3787279290266954	1.420400728370866	0.9706612376973593	0.3317170003923702	0.8506794127921496
unown2920	2	0	4	2	0	2	1.7776530615117268	-0.6405093841362192	2.319009957568934	-0.2761994971369931	0.7823948434447427	NA
NPY	25507	28949	29526	30913	29282	28641	28740.33301675772	-0.003426483474155845	0.20461253326582007	-0.01674620522734239	0.9866390858788451	0.9970126504778171
unown2921	1534	1657	1418	1870	1769	1602	1626.7477743207332	0.10584062206205305	0.18381686913421924	0.5757938461282922	0.5647545335578348	0.9351859701034917
SLC30A10	45	57	33	36	52	24	40.101448228432254	-0.38110299531868685	0.47636236476346927	-0.8000275074373643	0.42369485999766726	0.890716190053883
unown2922	0	0	0	0	3	1	0.598120072397355	2.677318841893929	3.977777943300225	0.6730689545914295	0.5009034236233273	NA
unown2923	12	31	11	14	17	4	14.361500369323808	-0.7569849087659688	0.8388040547184468	-0.9024573790598314	0.366813952430473	0.8658732932109358
unown2924	0	0	3	0	2	0	0.8441643200130304	-1.013996027662789	3.9310101156555177	-0.25794795684307203	0.7964470726546102	NA
unown2925	77	72	73	83	71	53	70.84067553209483	-0.19774864249952254	0.36670057723004806	-0.5392646065442809	0.5897042869008956	0.9393595531710429
unown2926	4	2	6	2	5	0	3.106290350219445	-1.028183607039302	1.6655130390675505	-0.6173374707501167	0.5370121563444684	NA
unown2927	4	0	0	2	1	1	1.2814795122035205	0.00317461786469925	2.612784051737399	0.0012150326249076168	0.9990305444662496	NA
unown2928	0	2	0	0	0	1	0.5141630233595744	-0.9253615663989847	4.043142775102259	-0.22887184991274032	0.8189685203871883	NA
unown2929	0	8	0	0	0	0	1.3012904426988758	-3.8807097022829917	3.8762086944829646	-1.00116118820084	0.3167488870254914	NA
unown2930	0	0	1	0	0	0	0.1904370711793436	-1.0470366255343013	4.080472856796901	-0.2565968852826058	0.7974899797035521	NA
unown2931	0	1	0	0	0	0	0.16266130533735948	-1.0470366255343013	4.080472856796901	-0.2565968852826058	0.7974899797035521	NA
unown2932	11	13	13	23	18	14	15.121366502824346	0.4729541802311751	0.7093041872933461	0.6667861105345145	0.5049087659215767	0.9208268409068647
unown2933	11	4	8	16	3	1	7.083081987437363	-0.30757746390299634	1.2365369070854397	-0.2487410300012533	0.8035611087277946	NA
unown2934	19	43	6	31	17	7	19.762732528356803	-0.376097859238124	0.8475883099762301	-0.4437270486289167	0.6572399370852084	0.9512007006152171
unown2935	0	0	1	0	0	0	0.1904370711793436	-1.0470366255343013	4.080472856796901	-0.2565968852826058	0.7974899797035521	NA
unown2936	110	65	226	171	52	184	140.32207533950628	-0.039329536643638106	0.5908637270967362	-0.06656278739073633	0.9469297713744986	0.9941153169969145
unown2937	1082	1268	1115	1440	1523	788	1177.7770418555424	-0.007776885566234348	0.22697035746559832	-0.03426388209047555	0.9726667258641238	0.9951642846695391
unown2938	241	199	152	222	251	126	193.21674170157118	-0.0890365610221749	0.2867002763072855	-0.3105562442037742	0.7561379954336984	0.9725249035230997
LYPLAL1	395	409	460	601	717	518	508.8001712004034	0.429273728489414	0.21910617294435342	1.95920417357861	0.05008888056494849	0.4282143002954558
unown2939	382	397	330	338	566	406	396.16300526819924	0.14467652951631593	0.23467319297757322	0.6165021563845262	0.5375631491439059	0.9286734850898216
unown2940	387	312	350	420	411	401	377.9798390293079	0.1529021129926919	0.23734018921242	0.6442318660825039	0.5194250900007088	0.9221474363242733
unown2941	3421	2942	2678	3645	4096	2092	3069.945771165789	0.004981151984860219	0.20693827656590846	0.024070713584365605	0.9807962037256328	0.9962095153638161
unown2942	1	3	0	1	1	0	0.9435224449618991	-1.1087777096927092	2.900308604457801	-0.3822964590693927	0.7022414808459472	NA
unown2943	0	31	19	0	61	38	24.15876024737767	0.8400118596782846	2.4081336434901766	0.3488227748277423	0.7272223642442979	0.9687912438006646
TGFB2	381	492	536	1219	815	552	653.291458217147	0.7595472628591003	0.30747957712223917	2.470236462427359	0.013502376646966484	0.19416274736045244
MSN	254	227	192	260	335	599	314.32148441143926	0.8137426614529298	0.3793728313279212	2.1449682060905126	0.03195538912638605	0.33478366706629675
unown2944	13	44	33	24	48	34	32.320319515832054	0.11914072212265035	0.6201007407404955	0.19213123658000802	0.8476394074458996	0.9834378001717117
CENPK	1958	1934	1667	2216	2358	2345	2062.7017519004407	0.24637196543001444	0.19049052741934308	1.2933554689974414	0.19588814418567577	0.7443498398455182
