id	Fem1_Veh_MSt	Fem2_Veh_MSt	Fem3_Veh_MSt	Fem1_Veh_AreaX	Fem2_Veh_AreaX	Fem3_Veh_AreaX	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
FAM171B	392	377	462	358	484	389	406.42379656614037	-0.015302987747742417	0.22859163963353563	-0.06694465192285792	0.9466257656506982	0.9998933113894561
unown7276	2	0	3	0	0	0	0.8322091502361778	-3.191939154131169	3.809401080229888	-0.837911022469323	0.40208067774508677	0.9998933113894561
PLAG1	37	20	71	30	38	41	39.21664391431951	-0.24437944726737584	0.5805219958083465	-0.42096500913301355	0.6737806330187552	0.9998933113894561
ITGAV	271	116	269	235	225	268	231.72684598692237	0.16774314250108063	0.3911534676278654	0.42884227389917373	0.6680380121176062	0.9998933113894561
unown7277	81	91	35	46	111	40	65.093454738209	-0.15467823085479965	0.5138621554389604	-0.30101113541367464	0.7634060032672276	0.9998933113894561
RAP2A	282	331	256	213	294	307	277.3827140429826	-0.1130928127006975	0.2513666467905147	-0.44991176890284656	0.6527740612176487	0.9998933113894561
MBNL2	4484	3714	3774	4418	4139	4210	4147.729639525724	0.12036788839004102	0.25417824182181653	0.4735570107311587	0.6358158373770554	0.9998933113894561
ZDHHC14	1040	1005	981	881	1121	1055	1006.2870832875254	0.005740078971512398	0.19890703199672377	0.028858099755904778	0.9769777632427876	0.9998933113894561
unown7278	3	5	0	3	0	0	1.9624416148188302	-1.1180316060616533	2.565227865641712	-0.4358410498483997	0.6629520582272272	0.9998933113894561
unown7279	167	177	89	108	251	126	147.97298165136513	0.08682839782288335	0.3775946075211428	0.22995137137391858	0.8181295571498859	0.9998933113894561
ZNF106	953	745	689	859	985	686	818.5952945822394	0.09033446945727791	0.271951883886299	0.33217078023642616	0.7397603062828131	0.9998933113894561
TMEM242	1336	1127	905	1126	1571	873	1144.9913480658947	0.06711446837732284	0.27511808793094117	0.24394785847075817	0.8072712029118018	0.9998933113894561
unown7280	4	11	8	13	14	9	9.851014419666063	0.6592748475410338	0.8849045136411827	0.7450237142855859	0.45625738401169297	0.9998933113894561
SFXN4	1745	1315	1681	1534	1808	1421	1579.1880840809356	0.008599558805536136	0.24035493040239012	0.035778582911277036	0.97145891049228	0.9998933113894561
PENK	31705	61623	29494	16686	38137	26465	33134.459562933785	-0.6658607450408023	0.3094846289626406	-2.1515147530030694	0.031435592633013876	0.9998933113894561
ARID1B	1162	1006	1184	1120	1294	1198	1157.0627064492298	0.11040037225942434	0.2212492045094991	0.4989865274506983	0.617788875256615	0.9998933113894561
IMPAD1	553	595	877	350	888	916	674.1929929230165	0.013010505985494318	0.31731746195737226	0.041001544337456355	0.9672946646957746	0.9998933113894561
PRDX3	6897	8710	9986	5023	11066	10425	8439.9948110296209	-0.01426847547636156	0.24790179291578598	-0.05755696765456095	0.9541015276509589	0.9998933113894561
unown7281	44	60	47	34	76	46	49.61796011658589	-0.018901935707726563	0.4233773988225328	-0.04464559459313437	0.9643897996404307	0.9998933113894561
FAM110B	808	713	556	657	796	682	698.6720293211545	0.036901533762704185	0.24846274477877492	0.14851938384388533	0.8819328895015033	0.9998933113894561
OXGR1	0	2	0	0	13	0	2.0294502452330123	2.385218850003568	3.00962049075929	0.7925314362150049	0.42805086928971947	0.9998933113894561
unown7282	386	391	426	272	496	481	399.8975117053355	0.0074165275283349175	0.23003681262819092	0.03224061159429412	0.9742801696316831	0.9998933113894561
unown7283	274	248	276	264	294	269	270.4254917849919	0.05662159314744895	0.2606335867497459	0.21724595764327043	0.8280166707901815	0.9998933113894561
unown7284	11	12	9	8	15	8	10.261716241621874	-0.09610085796367641	0.8121911830660413	-0.11832295150126274	0.9058117724707894	0.9998933113894561
unown7285	105	199	144	66	227	115	136.44300391221407	-0.24534551221409748	0.40017149708569466	-0.6131009179835665	0.5398096132761734	0.9998933113894561
unown7286	94	135	123	92	196	166	130.3145329983849	0.30742906209074694	0.31524139443665955	0.9752179362108414	0.32945216692399043	0.9998933113894561
NOX3	2	2	0	0	0	3	1.1484587026665247	-0.4472579759986772	2.996252366002422	-0.14927246485428916	0.8813386416851212	0.9998933113894561
SLC41A2	297	227	202	249	272	201	241.53847921758359	0.0018194190143667477	0.3119341849006181	0.005832701583978084	0.9953462038457289	0.9998933113894561
unown7287	274	233	302	212	355	297	273.7126936600024	0.055615518269376926	0.24030430306612688	0.23143787922129994	0.816974640475878	0.9998933113894561
unown7288	1169	980	881	1139	1223	836	1040.1091126756323	0.09389109140919465	0.2787708154148272	0.3368038769391238	0.7362647502901717	0.9998933113894561
CYP7A1	0	0	0	0	0	0	0	NA	NA	NA	NA	NA
HAUS2	671	533	513	604	660	511	582.3292621091965	0.05880314540615826	0.2688125347994738	0.21875150074390565	0.826843628605906	0.9998933113894561
unown7289	1922	1099	2095	1208	1686	1465	1563.776354444875	-0.2515211607940632	0.2798913019172661	-0.898638718213584	0.36884512843097017	0.9998933113894561
ZC3H15	1194	1456	1659	964	1944	1476	1411.7457120299666	-0.033234214313024334	0.21694430455979685	-0.1531923798620116	0.8782465667337861	0.9998933113894561
CHST11	512	267	262	457	410	292	371.0858497503239	0.19130959685138038	0.38663306876755266	0.4948091932777676	0.6207348143497065	0.9998933113894561
SDCBP	7998	6644	6602	7142	9250	6318	7274.972611268668	0.0881830496956229	0.22532512709942384	0.39135914769377883	0.6955317844985813	0.9998933113894561
TXNRD1	3	8	0	5	3	2	3.595845523250174	-0.0539460139263129	1.6177023903936607	-0.03334730432906474	0.9733976313178094	0.9998933113894561
TFB1M	253	174	315	232	228	275	246.7332673581423	0.0018008876182248024	0.33390100502838205	0.005393477680822567	0.9956966482932447	0.9998933113894561
unown7290	242	151	228	163	171	164	186.65823851081336	-0.3087968717363245	0.3259544501373462	-0.9473620366471692	0.34345432898526584	0.9998933113894561
unown7291	0	0	0	0	0	0	0	NA	NA	NA	NA	NA
SPTSSB	133	235	138	102	304	152	169.76337242724082	0.04196419499139282	0.3750062474542996	0.111902655692441	0.9109005908934452	0.9998933113894561
unown7292	541	525	670	375	705	731	577.9156721452019	0.011183681953847825	0.24865159114972848	0.0449773190758045	0.9641253874104906	0.9998933113894561
