id	Fem7_Exe_MSt	Fem8_Exe_MSt	Fem9_Exe_MSt	Fem7_Exe_AreaX	Fem8_Exe_AreaX	Fem9_Exe_AreaX	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
NCBP3	139	239	158	185	242	157	185.85405675450843	0.17744954362177812	0.3064139462443956	0.5791170597706556	0.5625101896783657	0.9999773224878018
TMLHE	99	56	80	77	69	93	78.93731073189598	0.0665886566452206	0.3736804481000029	0.17819679082433662	0.8585684299412755	0.9999773224878018
TP53RK	433	349	394	425	302	360	377.9362836035506	-0.05269590542249782	0.2449755471052987	-0.2151067975770143	0.8296840542581104	0.9999773224878018
unown5205	14	0	7	4	7	4	6.022930572248509	-0.4753979044780933	1.3984008356262079	-0.33995825257441925	0.7338879670653438	0.9999773224878018
SLC2A10	62	35	89	45	67	46	56.6478503678617	-0.1808168653536207	0.4580105427170608	-0.3947875616158504	0.6929996752688747	0.9999773224878018
FRRS1	8	9	6	4	25	11	10.30897486458191	0.8006645754602584	0.9405220629486005	0.8512980258539822	0.39460382127646454	0.9999773224878018
LBH	120	110	215	150	188	180	158.7303683308436	0.280224232142011	0.3020139338478309	0.9278519986538151	0.35348434673970464	0.9999773224878018
TDO2	25	29	60	36	24	91	43.376000311998716	0.46160199291642817	0.6178690097685916	0.7470871424499999	0.45501096085514986	0.9999773224878018
7-Sep	11298	11274	12005	10856	11307	11242	11281.764477325802	0.002869250586654269	0.10876724386924307	0.02637973055659663	0.9789544611963693	0.9999773224878018
unown5206	76	74	82	132	87	94	91.49212926288784	0.5036144910211245	0.34792789361150217	1.4474679962954127	0.14776589362021758	0.9999773224878018
unown5207	0	0	0	0	0	0	0	NA	NA	NA	NA	NA
EYA2	22	32	10	14	27	20	20.724505086271773	-0.050300123140501335	0.68523067826326	-0.07340611670800945	0.9414829503003073	0.9999773224878018
FOXB1	0	2	0	2	0	0	0.6983977688214799	0.18115762772489524	3.9842128281657723	0.04546886312001949	0.9637335928505106	0.9999773224878018
YPEL5	1560	1292	1292	1260	1290	1312	1332.09433799044	-0.05675256822194415	0.16905789808768104	-0.33569900527516144	0.737097856013117	0.9999773224878018
unown5208	218	209	186	178	190	193	195.08058740330992	-0.08305144864251035	0.22545870524846146	-0.3683665642938269	0.7125999251660136	0.9999773224878018
unown5209	166	104	124	127	125	117	127.33212489116173	-0.04953502212426027	0.3139548666943734	-0.15777752594127256	0.8746321085198481	0.9999773224878018
BNIP2	232	250	292	228	252	311	258.57999400267147	0.08070482575579535	0.19800828599292514	0.4075830733602681	0.6835797933020304	0.9999773224878018
