id	Mal4_E2_MSt	Mal5_E2_MSt	Mal6_E2_MSt	Mal4_E2_AreaX	Mal5_E2_AreaX	Mal6_E2_AreaX	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
unown4586	0	0	0	0	0	0	0	NA	NA	NA	NA	NA
ATG7	314	176	462	370	351	595	361.65331456297525	0.3093852427119759	0.29853331438924385	1.0363508117843852	0.3000385090830336	0.999646313058517
ZDHHC12	47	30	36	47	47	58	43.14488629963899	0.2455329391600887	0.4361852400579119	0.562909783759509	0.5734963176685697	0.999646313058517
GNA13	58	85	57	93	122	107	86.63596294226878	0.45665752627402767	0.40828086947155384	1.118488669001535	0.2633583432372206	0.999646313058517
unown4587	3	4	9	21	29	26	14.542780775629565	2.087234498722787	0.8045262598146424	2.5943646627565298	0.009476591472831928	0.2452775956304885
SNRPG	2850	1813	1785	3342	2285	2200	2357.4783857547322	0.11094344074550262	0.27160913033552736	0.40846727283597084	0.6829306528945234	0.999646313058517
FOXF1	0	0	1	2	0	1	0.620763637712856	1.2908413393911615	3.782671770729735	0.34125121544503945	0.7329144703448378	NA
GLRX2	1256	1112	1395	1300	1551	1498	1335.9960921984996	0.025554303108702332	0.1823411326484352	0.14014557624785945	0.888544971260399	0.999646313058517
SHC1	150	139	157	188	83	222	153.858424982646	-0.07129355292189371	0.367009595215951	-0.19425528338010914	0.8459759973237991	0.999646313058517
ZER1	522	277	422	340	252	384	360.58757963594866	-0.4918805995494818	0.2485467061206079	-1.9790268285060095	0.04781298575146281	0.6132617214893942
MTHFSD	324	202	222	291	206	342	259.5113591519122	-0.02604686822962797	0.27641657570829137	-0.09423048586317709	0.9249260682936695	0.999646313058517
TMEM63A	173	64	151	126	90	162	123.32370450483972	-0.18802382642545704	0.3695447822042815	-0.5087984879773486	0.6108934793552807	0.999646313058517
unown4588	826	683	793	1281	887	1415	955.6625974582914	0.4405013967174899	0.2104367246210193	2.093272443347518	0.03632484110472346	0.5374722104887147
LRRTM4	1226	1141	1316	1255	1018	1506	1231.074393056372	-0.16597721176163646	0.19136223441919062	-0.8673457031132552	0.3857526223010046	0.999646313058517
NUDT16L1	5697	3888	4667	5430	3391	4897	4613.556452086246	-0.235556880174175	0.21811488952611302	-1.0799669875172544	0.2801568811291754	0.999646313058517
CDC73	638	431	648	688	662	783	627.2533499214745	0.142191262358167	0.1791147897849815	0.7938555075706514	0.42727955393727474	0.999646313058517
ADRA1A	1	0	2	2	0	3	1.2171725076964237	0.6109751036803345	2.605570233336103	0.23448805787823962	0.814606103219188	NA
NAA60	774	553	513	737	478	707	621.6193233667474	-0.13360112691459605	0.2604474306161637	-0.5129677286449859	0.6079738949999683	0.999646313058517
AQP2	0	0	0	0	0	0	0	NA	NA	NA	NA	NA
FOXC2	13	20	32	15	172	40	47.689572679381655	1.6652028255419908	0.7999331408870188	2.0816775058169283	0.03737193661832577	0.5462019937929209
PLA2G12A	107	133	195	132	132	227	151.16213217218953	-0.03508197486258726	0.3387943650164871	-0.10354946387871602	0.9175268939529388	0.999646313058517
unown4589	6	2	2	0	5	0	2.542565588756708	-1.0832371888210626	2.0826676160860207	-0.5201200520209757	0.6029799032449508	NA
FOXL1	1	2	0	0	2	1	1.0593966183203403	-0.31471817004506053	2.7845995981711975	-0.1130209780435771	0.9100139237007964	NA
unown4590	52	39	27	69	35	61	46.50196899101422	0.27516261203273357	0.5054387522915179	0.5444034727951176	0.5861638565487426	0.999646313058517
DPYSL2	8447	5560	8140	8141	6591	8203	7390.040608288948	-0.11833334147585038	0.16687806997667323	-0.7091006115566377	0.47826204348992435	0.999646313058517
ZDHHC7	140	128	140	83	88	125	117.51465396546743	-0.6701213106696426	0.3029012466223412	-2.212342531244691	0.02694300647591091	0.4605194535413208
unown4591	122	90	105	61	80	74	88.98384951974907	-0.7405504913535352	0.3347021190551316	-2.2125658882713943	0.02692758897405716	0.4605194535413208
C7orf26	811	544	567	799	408	596	617.413202790352	-0.2729118736486525	0.2909145118448077	-0.9381170843558365	0.3481842429642046	0.999646313058517
unown4592	10	14	14	11	6	13	11.40575984324838	-0.5676207178443138	0.8251846056087363	-0.6878711914718545	0.49153389961908084	NA
unown4593	70	37	17	55	23	34	39.4487061740771	-0.3353263175069337	0.6424274755197142	-0.5219675843341846	0.6016929004794154	0.999646313058517
unown4594	0	0	0	0	0	0	0	NA	NA	NA	NA	NA
unown4595	36	35	33	67	135	55	59.26738854127413	1.136193601964097	0.510573847628997	2.225326673585718	0.026059316070528183	0.4496529796870819
unown4596	1	0	0	0	0	0	0.1628783565654331	-1.150791658652856	4.080472856796901	-0.2820240935400332	0.7779250358823964	NA
SNU13	2554	1621	2717	2411	2137	2399	2265.912643775421	-0.146399943060056	0.17658724171124077	-0.8290516440562128	0.40707518464282877	0.999646313058517
unown4597	33	0	0	26	0	0	9.607207392547163	-0.3467998575924003	3.7444044322159846	-0.09261816234609034	0.9262069143034539	NA
unown4598	0	0	0	0	0	0	0	NA	NA	NA	NA	NA
unown4599	2146	1765	2095	2128	2039	2367	2066.1778921109417	-0.06674503606763962	0.158803812304806	-0.42029870126499264	0.6742672585420817	0.999646313058517
unown4600	1	0	4	11	0	3	2.99594378655342	1.4461201692940924	2.0467987502407237	0.7065277761792723	0.4798599855575613	NA
unown4601	0	0	0	0	0	3	0.41496715616688234	2.1078224545244635	4.004025156701505	0.5264258769694836	0.5985923402446003	NA
unown4602	0	0	3	0	0	0	0.47065722792063885	-2.480025210709489	4.0049425635655576	-0.6192411429994514	0.5357575115450397	NA
unown4603	719	442	771	526	721	699	633.8176932144663	-0.14729336229551435	0.2203329525549985	-0.6685035560386623	0.503812212747152	0.999646313058517
TBC1D13	214	113	263	206	182	240	197.0311216423325	-0.057901115643635495	0.28756948895588047	-0.20134651924953975	0.8404276301985748	0.999646313058517
DNASE1L2	8	0	1	14	2	1	4.20600894015024	0.8872288271555274	1.7607330397835188	0.5038974149452047	0.6143334672294487	NA
PIP5K1B	730	565	975	2512	1265	3343	1472.4744760924932	1.456883950517927	0.29353085583794314	4.96330767802573	6.930266353571818e-7	1.304999285970415e-4
unown4604	17	35	71	26	29	73	40.51934720931808	-0.1618839946933818	0.6360309491997531	-0.2545221972249344	0.7990921576960262	0.999646313058517
unown4605	0	0	0	0	0	0	0	NA	NA	NA	NA	NA
TIMM44	592	392	484	608	413	489	491.02489630539037	-0.12970231437221594	0.24264831489992358	-0.5345279831253292	0.5929762943301451	0.999646313058517
unown4606	0	0	1	0	3	0	0.6502138303579503	1.3724383041548818	3.9900525805638982	0.3439649669882096	0.7308726326456254	NA
CTXN1	4409	2130	3306	3134	1828	3844	3036.4685865411816	-0.33561220797559604	0.26912471109319697	-1.2470508806579812	0.21237884180457187	0.999646313058517
ADPGK	79	108	118	117	85	111	102.93908521280953	-0.16990202881637798	0.35713201363057906	-0.47574012502874174	0.634259531016419	0.999646313058517
HRH1	54	63	64	22	42	31	47.13509682858845	-1.1293330491096327	0.477848649985932	-2.363369759740622	0.018109590787934896	0.3642382555845791
unown4607	0	0	0	0	0	0	0	NA	NA	NA	NA	NA
unown4608	134	134	158	101	145	145	135.7189396088304	-0.31892748452884817	0.30224949432923276	-1.0551795470712964	0.2913432164673681	0.999646313058517
unown4609	11	21	64	1	20	39	25.18631424214123	-0.8823848543951237	0.97325398046965	-0.9066336969609138	0.3646005360985268	0.999646313058517
unown4610	125	61	436	19	16	43	113.52767118892757	-3.121619887622583	0.5999938550800846	-5.202753096872838	1.9635766940834294e-7	4.398750342452759e-5
SLC6A1	23561	20347	20016	26359	20541	27843	22865.178631200302	0.022051707079392083	0.19325851082994458	0.11410471386068068	0.9091547855124773	0.999646313058517
B3GALT2	421	449	508	344	593	458	461.51166800361926	-0.17336343492559367	0.2771132007431452	-0.6256051117762641	0.5315739850786956	0.999646313058517
CDH23	145	87	142	147	100	172	128.73419307424547	-0.010301537585468404	0.3099616660500871	-0.03323487615982734	0.9734872863222556	0.999646313058517
GAR1	63	35	53	49	34	63	48.37068623080647	-0.2280813322872708	0.4380632854074691	-0.5206584068672145	0.6026047539480783	0.999646313058517
KCNT2	959	850	1209	2934	2727	7870	2542.954500186276	1.9311943839448873	0.32260242024795766	5.986298498506424	2.1467024384056405e-9	9.61796716627741e-7
ASTE1	171	176	239	134	208	214	188.74450447493678	-0.26727608531523367	0.2943339779519405	-0.9080707812771623	0.3638408265792203	0.999646313058517
unown4611	0	3	4	2	5	15	4.49411346743969	1.362990769177958	1.5286651261644102	0.8916215499714136	0.37259581539444836	NA
NEK11	305	123	209	218	226	195	208.492078745445	-0.1314505122782045	0.31766202863757886	-0.4138061852780542	0.6790160537867876	0.999646313058517
CAMKK1	89	108	315	132	192	333	186.21896441949534	0.1859017589626485	0.45826816635910855	0.40566151570076975	0.6849913227224369	0.999646313058517
unown4612	46	12	45	49	30	41	35.708734393519215	0.10665693654407077	0.574173924215769	0.18575719315318495	0.8526351751053378	0.999646313058517
unown4613	186	121	229	179	179	207	179.40068816066645	-0.083207576909825	0.2625844003224857	-0.31687936072225137	0.7513351433659432	0.999646313058517
ZNF800	108	90	113	111	118	183	117.42348866286817	0.20361558773821994	0.30568786363115347	0.6660898647383164	0.5053536623873409	0.999646313058517
BBS4	292	181	409	293	336	407	309.82318655545464	0.07845414544121332	0.2637714746050643	0.29743225858171335	0.7661365186235147	0.999646313058517
unown4614	0	0	1	2	0	0	0.48244125232389534	0.7713118928990017	4.032403804353601	0.1912784359706862	0.8483074547689701	NA
unown4615	0	0	2	0	0	0	0.3137714852804259	-1.904932167174246	4.05165023578903	-0.470162046651412	0.6382392476387999	NA
ENDOG	1652	963	1063	1843	1397	1403	1366.3497428402363	0.1715204814553874	0.25147996531528716	0.6820443180845345	0.4952109278970185	0.999646313058517
GRM8	175	157	243	159	259	269	206.0088638271356	0.07512062488983219	0.29221144147027567	0.2570762613259057	0.7971199025621389	0.999646313058517
LRIT3	2	0	3	1	4	1	1.755284864905957	0.22968021114629972	2.0814898742187533	0.11034414050777244	0.9121364519091887	NA
FXN	671	413	834	484	475	424	544.3301069814482	-0.6110839101172888	0.24036786526553133	-2.542286213850725	0.011012995025564335	0.2704949799001085
SPOUT1	1520	1033	990	1303	950	1040	1136.806108939528	-0.2863472884712581	0.24981839015417298	-1.1462218145531307	0.25170338391516567	0.999646313058517
AXIN2	437	347	470	426	265	507	402.4495973000287	-0.2604822230649927	0.2522231338894378	-1.0327451691214624	0.3017231693776084	0.999646313058517
SDE2	3005	2343	2586	2974	3113	3117	2825.2552551140025	0.029802660057900547	0.17698810826367634	0.16838792363100824	0.8662781080011397	0.999646313058517
unown4616	3064	1185	1452	2542	1467	1361	1824.4990991447025	-0.21888627633102098	0.352776855829261	-0.6204666567949652	0.5349505995259235	0.999646313058517
FLAD1	1021	561	802	1004	542	927	793.3244168659688	-0.11592412768886685	0.26764307287130634	-0.43312956485374043	0.6649206453935748	0.999646313058517
EGF	203	210	274	198	413	379	273.69761367462655	0.33384961565680177	0.3190249786315659	1.0464685777547107	0.29534474509201475	0.999646313058517
ECI1	352	309	224	471	298	397	339.39029063593847	0.18721479865794347	0.3082441688133095	0.6073587681437425	0.5436128452747657	0.999646313058517
unown4617	0	0	0	0	0	0	0	NA	NA	NA	NA	NA
unown4618	661	353	763	625	721	989	660.239835522032	0.23514367132721764	0.24332618629267752	0.9663722384749096	0.3338579504616496	0.999646313058517
ARIH1	1706	1438	1932	1709	1082	2212	1651.7312659512186	-0.22294077625222414	0.234163962816352	-0.9520712477311043	0.341060849634895	0.999646313058517
H3F3A	6705	6217	6062	5973	6833	6459	6366.985151915401	-0.1760830421267438	0.1963773254395229	-0.896656687489977	0.36990213915593884	0.999646313058517
CLCN7	303	204	441	311	172	376	293.24566632605934	-0.31086983939558316	0.31712973391341887	-0.9802607770624726	0.32695741059607686	0.999646313058517
unown4619	216	132	238	203	251	318	219.16054320604357	0.2284341337205814	0.2611828629725138	0.8746137902034606	0.38178408182172224	0.999646313058517
unown4620	31	0	0	10	10	9	9.56633502950661	-0.1687520412519266	1.5635834658437244	-0.10792646823037771	0.9140540211389959	NA
unown4621	123	72	77	151	105	85	101.17274429409353	0.17033150828418714	0.39743629260386926	0.42857562697214246	0.6682320858936142	0.999646313058517
ACBD3	914	668	994	937	718	1286	896.680147483708	0.0011331249683773587	0.2130454802827526	0.00531869987043838	0.9957563114978212	0.999646313058517
unown4622	70	114	153	101	126	160	119.16761578852247	-0.011073185832122044	0.38004211526577025	-0.02913673350222874	0.976755539127431	0.999646313058517
CEP112	384	306	412	371	465	366	380.3491127206066	-0.041616848887282024	0.2359859733001467	-0.17635306160485326	0.8600165780600291	0.999646313058517
USP10	1925	1531	1863	1645	1394	1845	1686.6634767036587	-0.3126938339559111	0.16692387510877552	-1.8732720753825358	0.061030823908337584	0.6998883451377143
